;Time(ms);Axle_Torque_Feedback(N.m);;Time(ms);Speed_Feedback(m/s)
1760710765;13586,30013;-592;;5249,959946;0,108419679
1760710765;13605,32022;-588;;5260,169983;0,108419679
1760710765;13624,49002;-596;;5270,030022;0,108419679
1760710765;13644,23013;-594;;5279,989958;0,098563343
1760710765;13664,80017;-598;;5290,079832;0,098563343
1760710765;13693,84003;-604;;5300,109863;0,098563343
1760710765;13713,94014;-598;;5310,459852;0,098563343
1760710765;13733,76012;-594;;5319,619894;0,098563343
1760710765;13755,0602;-584;;5329,799891;0,098563343
1760710765;13773,9501;-598;;5339,949846;0,108419679
1760710765;13803,70021;-578;;5349,869967;0,108419679
1760710765;13824,10002;-614;;5359,920025;0,108419679
1760710765;13845,0501;-608;;5369,899988;0,108419679
1760710765;13873,69013;-608;;5379,869938;0,108419679
1760710765;13904,03008;-588;;5389,989853;0,108419679
1760710765;13935,02021;-594;;5399,93;0,108419679
1760710765;13964,41007;-620;;5409,989834;0,108419679
1760710765;13993,90006;-598;;5420,159817;0,108419679
1760710765;14024,52016;-602;;5430,409908;0,098563343
1760710765;14054,68011;-536;;5440,409899;0,098563343
1760710765;14084,60999;-502;;5449,739933;0,098563343
1760710765;14102,7801;-468;;5460,059881;0,098563343
1760710765;14123,73018;-432;;5469,689846;0,098563343
1760710765;14143,59021;-394;;5479,769945;0,098563343
1760710765;14174,72005;-336;;5489,830017;0,098563343
1760710765;14204,34999;-288;;5499,789953;0,098563343
1760710765;14233,64019;-220;;5509,99999;0,098563343
1760710765;14263,76009;-196;;5520,200014;0,098563343
1760710765;14293,59007;-154;;5530,189991;0,098563343
1760710765;14312,90007;-134;;5540,390015;0,098563343
1760710765;14334,50007;-124;;5550,109863;0,098563343
1760710765;14353,25003;-112;;5560,199976;0,098563343
1760710765;14382,21002;-84;;5569,519997;0,098563343
1760710765;14413,83004;-74;;5579,649925;0,098563343
1760710765;14442,75999;-42;;5589,669943;0,098563343
1760710765;14472,94021;-10;;5599,740028;0,098563343
1760710766;14502,81;-4;;5609,879971;0,098563343
1760710766;14532,86004;0;;5620,059967;0,098563343
1760710766;14562,44016;0;;5630,49984;0,098563343
1760710766;14592,29016;4;;5640,089989;0,098563343
1760710766;14621,87004;0;;5650,12002;0,098563343
1760710766;14640,92016;2;;5660,189867;0,098563343
1760710766;14661,60011;0;;5670,08996;0,098563343
1760710766;14681,57005;0;;5680,179834;0,098563343
1760710766;14701,5202;0;;5690,179825;0,098563343
1760710766;14723,30999;98;;5699,679852;0,098563343
1760710766;14752,70009;36;;5709,689856;0,098563343
